"","depth_class","Ecosystem_type","AI","MAP","MAT","PS_Bio15","TS_Bio4","TAR_Bio7","MaxTWM_Bio5","MinTCM_Bio6","MMTD_Bio2","PWM_Bio13","PDM_Bio14","Elevation","Slope","Mean_pH","Moisture","TC","CEC","Bulk.Density","RootDepth","GPP","Sand.content","Clay.content","Silt.content","Bedrock","Shannon_EVI","LAI","AbovegroundBiomass","BelowgroundBiomass","depth_mid","length","degree","CUE"
"303","0-30","Forest",0.578,596,2.75833344459534,105.387184143066,1445.60754394531,51.5,26,-25.5,12.1999998092651,163,4,421,5.96423006057739,4.81166666666667,42.0496566296883,0,0.219249995099381,0.3786,0.762951076030731,0,40.5,17.5,42,1466,26444,4.59469985961914,45,17.1,12.5,1.03532650321319,52.669120308107,0.157985793729896
"304","0-30","Forest",0.3129,372,1.89583337306976,116.294898986816,1327.875,47.3000030517578,24.7000007629395,-22.6000003814697,12.8249998092651,114,3,1092.25,3.85201334953308,6.32,24.4619799139168,0,0.0756499983090907,0.697,1.00709545612335,0,77,6,17,1733,33752,2.94289994239807,1.8,8,12.5,0.821317411244321,55.1385826430256,0.363752877144914
"305","0-30","Forest",0.3218,377,1.66250002384186,114.871353149414,1329.42590332031,47.1999969482422,24.3999996185303,-22.7999992370605,12.658332824707,115,3,1118,4.14179992675781,6.21,23.7200143215181,0,0.208849995331839,0.5586,1.00709545612335,0,41.5,20,38,1733,33752,2.94289994239807,3.6,7.3,12.5,0.852704615785966,50.7794986968767,0.340571272101148
"306","0-30","Forest",0.3172,374,1.77083325386047,116.168533325195,1330.30151367188,47.2000007629395,24.5,-22.7000007629395,12.7250003814697,115,3,1103.1875,3.81315088272095,6.11333333333333,26.9860896445131,0,0.208849995331839,0.3235,1.00709545612335,0,41.5,20,38,1733,33752,2.94289994239807,1.9,8.3,12.5,0.86942690856668,41.9840536744372,0.231204478742702
"307","0-30","Forest",0.3291,389,1.63333332538605,117.097923278809,1301.41589355469,46.5,24,-22.5,12.6499996185303,120,2,1182.875,6.34655237197876,5.54,21.5018094089264,0,0.185149995861575,0.3316,0.900282263755798,0,39.5,16,45,1872,24574,2.06139993667603,16,6.2,12.5,0.889831858426603,45.7931486983921,0.213150623654861
"308","0-30","Forest",0.3455,401,1.22916662693024,115.077728271484,1296.96057128906,46.2000007629395,23.5,-22.7000007629395,12.5416669845581,122,2,1267.9375,7.08058309555054,6.30666666666667,18.2795698924731,0,0.185149995861575,0.6789,0.77821010351181,0,39.5,16,45,1969,32352,2.28430008888245,32.1,17.5,12.5,0.856982672173493,52.8413766431323,0.302705641485023
"309","0-30","Forest",0.3833,431,0.120833203196526,112.303047180176,1282.31762695312,45.9000015258789,22.2999992370605,-23.6000003814697,12.6083335876465,129,3,1586.0625,20.5005664825439,6,24.9584487534626,0,0.185149995861575,0.361,0.77821010351181,0,39.5,16,45,1969,32352,2.28430008888245,23.3,13,12.5,0.808267475709764,52.2050444831432,0.256780309923746
"310","0-30","Forest",0.3908,432,0.991666615009308,109.760108947754,1304.26538085938,47.2000007629395,23,-24.2000007629395,12.966667175293,123,3,1530.3125,2.83645558357239,6.09833333333333,13.790783720148,0,0.175599996075034,0.5946,1.08339059352875,0,41,14,45,2098,28132,3.76440000534058,22.1,12.4,12.5,0.757695813532529,40.9588200219104,0.26714911580975
"311","0-30","Forest",0.4566,484,0.150000005960464,106.478271484375,1214.88684082031,43.9000015258789,21.1000003814697,-22.7999992370605,12.0166664123535,135,4,1882.25,6.09296751022339,6.242,34.5319008989257,0,0.176099996063858,0.4561,0.427252620458603,0,41,16,43.5,1682,30022,2.8043999671936,22.1,12.7,12.5,0.80643889663393,43.7503977072059,0.226897499093666
"312","0-30","Forest",0.4229,460,0.916666746139526,109.159767150879,1241.66186523438,44.8000030517578,22.2000007629395,-22.6000003814697,12.1500005722046,131,3,1667.1875,3.68456339836121,6.17033333333333,34.9846153846154,0,0.176099996063858,0.325,0.579842805862427,0,41,16,43.5,2333,26626,3.76440000534058,18.4,10.5,12.5,0.698315723282742,46.4793112284949,0.280037996892799
